state,x,y
Jammu & Kashmir,-244,370
Ladakh,-169,375
Himachal Pradesh,-182,297
Punjab,-236,256
Uttarakhand,-86,246
Haryana,-193,199
Delhi,-163,184
Rajasthan,-326,118
Uttar Pradesh,-57,149
Bihar,86,95
Sikkim,175,153
Arunachal Pradesh,327,163
Assam,264,109
Nagaland,348,92
Manipur,338,56
Meghalaya,234,78
Tripura,265,18
Mizoram,309,13
West Bengal,159,-1
Jharkhand,78,15
Madhya Pradesh,-147,12
Gujarat,-350,-3
Maharashtra,-263,-122
Chhattisgarh,-39,-57
Odisha,36,-75
Telangana,-118,-170
Karnataka,-219,-257
Goa,-256,-244
Andhra Pradesh,-131,-254
Kerala,-176,-412
Tamil Nadu,-131,-361
